"","WT","Date","Diff_PSL"
"199",2,2009-10-05,-62.4724996449368
"200",2,2009-10-06,6.34201656590449
"201",2,2009-10-07,-45.0771219668095
"202",2,2009-10-08,-27.034505102667
"203",2,2009-10-09,33.8156726789457
"204",2,2009-10-10,46.1114837790228
"205",2,2009-10-11,59.7901340082753
"206",2,2009-10-12,43.1692805550992
"207",2,2009-10-13,28.1334642813745
"208",2,2009-10-14,-1.28145035303896
"209",2,2009-10-15,-26.065800752709
"210",2,2009-10-16,-123.30516555754
"211",2,2010-06-09,69.6552025848068
"212",2,2010-06-10,74.768182671236
"213",2,2010-06-13,72.5963038670598
"214",2,2010-06-14,12.8927172942786
"215",2,2010-06-15,-105.074432417634
"216",2,2010-06-16,88.5461040212685
"217",2,2010-06-17,173.400058077023
"218",2,2010-06-18,-47.2377708570129
"219",2,2010-06-19,50.5745630275196
"220",2,2010-06-20,96.827507456168
"221",2,2010-06-21,-43.8588145187387
"222",2,2010-06-22,-210.310014608025
"223",2,2010-06-23,-54.808049119456
"224",2,2010-06-24,76.9410163224238
"225",2,2010-06-25,2.83618984337954
"226",2,2010-06-26,-26.8219774590252
"227",2,2010-06-27,-44.8302363151306
"228",2,2010-06-28,6.8526137193694
"229",2,2010-06-29,-32.6649716969696
"230",2,2010-06-30,5.50746124818397
"231",2,2010-07-01,76.6577260185004
"232",2,2010-07-02,32.4944814153569
"233",2,2010-07-03,-2.87889673958125
"234",2,2010-07-04,-108.381005518575
"235",2,2010-07-05,-107.965903211734
"236",2,2010-07-06,-11.1225830831099
"237",2,2010-07-07,-32.1703824967553
"238",2,2010-07-08,60.2079803907691
"239",2,2010-07-09,153.836279875424
"240",2,2010-07-10,69.5303509474907
"241",2,2010-07-11,-112.367541287938
"242",2,2010-07-12,-65.6245396952581
"243",2,2010-07-13,23.4971633561945
"244",2,2010-07-14,-0.158529966734932
"245",2,2010-07-15,-26.768428674317
"246",2,2010-07-16,112.514892062973
"247",2,2010-07-17,54.2107257344614
"248",2,2010-07-18,-4.58023124290048
"249",2,2010-07-19,-10.3661781265255
"250",2,2010-07-20,-38.3573067988036
"251",2,2010-07-21,34.4437768828066
"252",2,2010-07-22,52.5967844607221
"253",2,2010-07-23,-40.4827988049801
"254",2,2010-07-24,-24.4550828802167
"255",2,2010-07-25,146.347615038147
"256",2,2010-07-26,128.176083681625
"257",2,2010-07-27,-67.7397934081382
"258",2,2010-07-28,-60.4908065857744
"259",2,2010-07-29,45.3033763289131
"260",2,2010-07-30,60.4355015419569
"261",2,2010-07-31,-33.7334062043374
"262",2,2010-08-01,-185.280387721155
"263",2,2010-08-02,-217.141705384682
"264",2,2010-08-03,18.989929090254
"265",2,2010-08-04,243.390271212062
"266",2,2010-08-05,87.1010540090792
"267",2,2010-08-06,-149.288770846862
"268",2,2010-08-07,-79.1513147216319
"269",2,2010-08-08,161.345143594794
"270",2,2010-08-09,103.176639090656
"271",2,2010-08-10,-36.3890767022531
"272",2,2010-08-11,-133.990919442862
"273",2,2010-08-12,-77.1154249005776
"274",2,2010-08-13,96.0802984499169
"275",2,2010-08-14,57.1117462668481
"276",2,2010-08-15,-69.4068624716019
"277",2,2010-08-16,10.1550846555037
"278",2,2010-08-17,18.7519413954724
"279",2,2010-08-18,25.7695242756745
"280",2,2010-08-19,-46.2235927101865
"281",2,2010-08-20,-86.797732206629
"282",2,2010-08-21,-23.999050225204
"283",2,2012-07-24,9.52177634515101
"284",2,2012-07-25,-46.4157756451896
"285",2,2012-07-26,-80.2563935440703
"286",2,2012-07-27,-34.0359608322469
"287",2,2012-08-01,167.756245181372
"288",2,2012-08-02,44.766900665476
"289",2,2012-08-03,14.8138276558311
"290",2,2012-08-04,-0.346054059817106
"291",2,2012-08-05,27.4785926594632
"292",2,2012-08-06,81.5425991113589
"293",2,2012-08-07,-1.74630741763394
"294",2,2012-08-08,-61.9856303765555
"295",2,2012-08-09,-4.81261285708752
"296",2,2012-08-10,-10.1599311698665
"297",2,2012-08-11,-75.9742584401829
"298",2,2012-08-12,5.07651203132991
"299",2,2012-08-13,69.2335013086267
"300",2,2012-08-14,42.0340967882657
"301",2,2012-08-15,6.44231481294264
"302",2,2012-08-16,24.0042505275051
"303",2,2012-08-17,38.1588406407245
"304",2,2012-08-18,28.3761184263858
"305",2,2012-08-19,-72.0702554374147
"306",2,2012-08-20,-49.1335619217716
"307",2,2012-08-21,-8.26003286804189
"308",2,2012-08-22,65.173708610615
"309",2,2012-08-23,69.0317521506222
"310",2,2012-08-24,-2.77897003326507
"311",2,2012-08-25,-23.3288718856638
"312",2,2012-08-26,-47.7044501196942
"313",2,2012-08-27,7.31216269679135
"314",2,2012-08-28,46.9694398230931
"315",2,2012-08-29,9.11205060053908
"316",2,2012-08-30,-141.760452594943
"317",2,2012-08-31,-92.4800065431773
"318",2,2012-09-01,17.32875015217
"319",2,2012-09-02,68.6903924383223
"320",2,2012-09-03,89.3996586390131
"321",2,2012-09-04,41.1381586288771
"322",2,2012-09-05,31.3310110980383
"323",2,2012-09-06,-43.2008019193308
"324",2,2012-09-07,-41.9301795061765
"325",2,2012-09-08,-29.4793712465471
"326",2,2012-09-09,75.337206825192
"327",2,2012-09-10,43.8483492432279
"328",2,2012-09-11,-100.356104680657
"329",2,2012-09-12,-127.157523129354
"330",2,2012-09-13,-63.6230256350536
"331",2,2012-09-14,63.3624259454664
"332",2,2012-09-15,117.096620881348
"333",2,2012-09-16,66.7023692379589
"334",2,2012-09-17,30.6146868913202
"335",2,2012-09-18,-74.3376595215814
"336",2,2012-09-19,-79.6388230908196
"337",2,2012-09-20,5.06195219932124
"338",2,2012-09-21,-23.0526383196702
"339",2,2012-09-22,-74.5442032036226
"340",2,2012-09-23,-72.4830359316693
"341",2,2012-09-24,38.4547823506873
"342",2,2012-09-25,31.6164051087399
"343",2,2012-09-26,-24.8587358992081
"344",2,2012-09-27,82.8476999979757
"345",2,2012-09-28,77.6205123458058
"346",2,2012-09-29,49.308434608829
"347",2,2012-09-30,-13.332994339391
"348",2,2012-10-01,-75.5148248559562
"349",2,2012-10-02,-87.0684028059477
"350",2,2012-10-03,18.4091005924274
"351",2,2012-10-04,135.218536966408
"352",2,2012-10-05,17.3755959868577
"353",2,2012-10-06,-83.6327541693754
"354",2,2012-10-07,-37.2656465569744
"355",2,2012-10-08,55.9437667383609
"356",2,2012-10-09,93.5279631958983
"357",2,2012-10-10,143.236658770897
"358",2,2012-10-11,-42.9833681626333
"359",2,2012-10-15,-19.7064904236322
"360",2,2012-10-16,-65.8582857389265
"361",2,2012-10-17,-45.5532228940137
"362",2,2013-05-18,8.98493548124679
"363",2,2013-05-31,-169.161799018024
"364",2,2013-06-01,-245.34532112279
"365",2,2013-06-04,85.7448732449993
"366",2,2013-06-05,115.948571406843
"367",2,2013-06-06,32.6160728777759
"368",2,2013-06-07,-143.228786672218
"369",2,2013-06-08,-95.9498432681285
"370",2,2013-06-09,53.172525513306
"371",2,2013-06-10,36.6231232754362
"372",2,2013-06-11,-55.2955600247515
"373",2,2013-06-12,-18.4132509434276
"374",2,2013-06-13,1.69699140764715
"375",2,2013-06-14,44.1641385834228
"376",2,2013-06-15,-125.703459767086
"377",2,2013-06-16,-110.406747078392
"378",2,2013-06-17,66.5998176533903
"379",2,2013-06-18,29.4688793418172
"380",2,2013-06-19,6.31192176595505
"381",2,2013-06-20,43.8711489104753
"382",2,2013-06-21,118.678524691612
"383",2,2013-06-22,64.2155798571766
"384",2,2013-06-23,97.2705653505836
"385",2,2013-06-24,102.121152714652
