"","WT","Mean_pp","Percentile_95","SLP","SLP_Mean_Diff","Number_of_Days","R01","P98Wet","P98WetAmount"
"34",33,3.83091070909859,21.2999992370605,101320.10112156,59.9207367800287,192,0.303590732631608,70.1399993896484,2896623.4850769
"35",34,3.79070443813736,23.0999984741211,101213.422030971,130.370729183574,1,0.292915587352494,67.6685972595215,12619.9318237305
"36",35,4.12158096796791,23.2199993133545,101452.445122252,59.0365915279598,226,0.313981180181154,73.1399917602539,3530482.71224213
"37",36,4.72385758121352,27.3899974822998,101095.067817189,59.3751852115654,354,0.313601019509076,78.6900024414062,6002607.69338226
"38",37,5.18217915260458,27.2399997711182,101118.025984377,59.7864758998649,236,0.394741692852449,73.3199920654297,4767203.26811218
"39",38,5.030386938837,29.0700016021729,101141.171806132,64.1309560980212,113,0.330287784364945,79.4700012207031,2051479.37828827
"40",39,3.93801777385517,23.2799987792969,101373.729773687,53.2005448559714,144,0.2782537610387,74.879997253418,2012979.2919693
"41",40,4.95023038058021,27.3899974822998,101181.401046962,57.8343364593784,305,0.372878595776031,71.2799987792969,5594021.1705246
"42",41,NA,NA,NA,NA,0,NA,NA,NA
"43",42,5.38816179356073,29.6999988555908,101164.403212211,57.9626631162295,466,0.3844393116177,72.7200012207031,8859489.64248657
"44",43,3.44019485311717,18.7800006866455,101405.223018694,59.5318732119222,432,0.304640517948976,64.2000045776367,5911529.32757568
"45",44,4.71643753185792,27.3299980163574,101138.385505597,64.6632681946294,316,0.317948259539212,77.9699935913086,5361220.21793365
"46",45,4.40414578942888,24.9899997711182,101240.299799782,65.8336785166004,294,0.319464548287964,76.1699981689453,4901183.08424377
"47",46,4.06262301187708,22.5599975585938,101275.224073197,63.9359957057148,201,0.316215886154524,71.9700012207031,3240905.99081421
"48",47,NA,NA,NA,NA,0,NA,NA,NA
"49",48,6.7020687061949,35.4300003051758,101050.601175109,33.6639572512577,2,0.406109946137083,77.8181997680664,42774.5919494629
"50",49,NA,NA,NA,NA,0,NA,NA,NA
